original_title,release_year,popularity,director,keywords,runtime,vote_average,Profit
Batman: Dead End,2003,0.33377399999999996,Sandy Collora,,8,5.9,25197618.699245356
The In-Laws,2003,0.331948,Andrew Fleming,cia,98,5.5,5814925.905853121
How to Deal,2003,0.331169,Clare Kilner,woman director,99,5.3,25197618.699245356
Mimic: Sentinel,2003,0.330848,J.T. Petty,oxygen|fire|smoking|camera|photography,77,5.2,25197618.699245356
Les Enfants de la Pluie,2003,0.32710300000000003,Philippe Leclerc,,90,7.6,25197618.699245356
Scooby-Doo! and the Monster of Mexico,2003,0.326083,Scott Jeralds,,75,6.1,25197618.699245356
Absolon,2003,0.32305100000000003,David DeBartolomÃ©,cataclysm|weltbevÃ¶lkerung|lethal virus|rainforest,96,5.0,25197618.699245356
Angels in America,2003,0.3216,Mike Nichols,gay|new york|aids|hiv|based on play,352,6.1,-20176680.206607766
Saints and Soldiers,2003,0.317456,Ryan Little,winter|belgium|world war ii|nazis|bravery,90,6.7,39043319.79339223
Inspector Gadget 2,2003,0.315387,Alex Zamm,cyborg|gadget|sequel|based on cartoon,89,4.3,-40176680.20660777
Willard,2003,0.30925199999999997,Glen Morgan,bad boss|evil mother|revenge|humiliation|obedience,100,5.3,17823319.793392234
The Challenge,2003,0.46391099999999996,Craig Shapiro,sister sister relationship|reality tv|twins|reality competition,90,5.9,25197618.699245356
Scooby-Doo! And the Legend of the Vampire,2003,0.297658,Scott Jeralds,,72,5.8,25197618.699245356
The Statement,2003,0.292143,Norman Jewison,,120,5.5,25197618.699245356
Calendar Girls,2003,0.28941500000000003,Nigel Cole,female nudity|england|mannequin|leukemia|calendar,108,6.5,86542059.0
Dead End,2003,0.288118,Jean-Baptiste Andrea|Fabrice Canepa,baby|secret|drive|nudity|cabin,85,6.5,25197618.699245356
Foolproof,2003,0.28486100000000003,William Phillips,gun|blackmail|heist,97,6.4,-7795291.0
My Life Without Me,2003,0.28249,Isabel Coixet,farewell|responsability|dying and death|night shift|daughter,106,6.7,-4898747.094146879
Kontroll,2003,0.176093,NimrÃ³d Antal,budapest|subway,105,6.6,39323319.79339223
Mambo Italiano,2003,0.276911,Ã‰mile Gaudreault,gay|father-son relationship|sex|italo-american|lovesickness,92,5.2,-1330097.0
Capturing the Friedmans,2003,0.275803,Andrew Jarecki,sexual abuse|middle class|child pornography|sodomy|american,107,7.4,-11507716.09414688
Agent Cody Banks,2003,0.27518400000000004,Harald Zwart,spy|cia|killer robot|delinquent|teen spy,102,4.9,30795814.0
The Big Empty,2003,0.26897600000000005,Steve Anderson,suitcase|bizarre|alien|independent film|neighbor,94,5.2,25197618.699245356
De Zaak Alzheimer,2003,0.268921,Erik Van Looy,,123,6.3,25197618.699245356
Biker Boyz,2003,0.264295,Reggie Rock Bythewood,father-son relationship|loss of father|biker|gang|motorcycle racing,110,5.8,-489399.0
The Good Thief,2003,0.347234,Neil Jordan,casino|monte carlo|painting|caper|independent film,108,6.2,25197618.699245356
The Ghost of Lord Farquaad,2003,0.686322,Simon J. Smith,,12,6.5,25197618.699245356
Harvie Krumpet,2003,0.10239,Adam Elliot,tourette syndrome,23,6.8,25197618.699245356
Ghosts of the Abyss,2003,0.25338099999999997,James Cameron,diving|expedition|shipwreck|titanic|title spoken by character,92,6.7,4040871.0
American Splendor,2003,0.573104,Shari Springer Berman|Robert Pulcini,independent film|harvey pekar|v.a. hospital|junk sale|jellybean,101,6.7,-8622114.09414688
Hitler: The Rise of Evil,2003,0.249204,Christian Duguay,germany|suicide|austria|world war ii|world war i,179,6.7,25197618.699245356
Shade,2003,0.248133,Damian Nieman,,101,6.3,33023319.793392234
Hope Springs,2003,0.246824,Mark Herman,mayor|motel|vermont|sketch artist|small town girl,90,4.8,25197618.699245356
The Missing,2003,0.245905,Ron Howard,new mexico|apache|baby-snatching|daughter|criminal,135,5.8,-20176680.206607766
Stuck on You,2003,0.34975100000000003,Bobby Farrelly|Peter Farrelly,sex|dancer|martial arts|cook|stripper,118,4.8,-21171682.0
Chouchou,2003,0.242306,Merzak Allouache,paris|travestie|psychoanalysis|homosexuality,105,5.1,25197618.699245356
Fear X,2003,0.127505,Nicolas Winding Refn,,88,5.8,25197618.699245356
Aileen: Life and Death of a Serial Killer,2003,0.241416,Joan Churchill|Nick Broomfield,prison|childhood trauma|female killer|murder|dysfunctional family,89,7.3,25197618.699245356
Le temps du loup,2003,0.240657,Michael Haneke,,113,5.7,25197618.699245356
After School Special,2003,0.23933000000000001,David M. Evans,pornography|pornographic video|child pornography|porno star|porno scene,90,4.8,25197618.699245356
The Second Renaissance Part I,2003,0.23728200000000002,Mahiro Maeda,,9,7.2,25197618.699245356
Out for a Kill,2003,0.236258,Michael Oblowitz,,90,5.0,25823319.793392234
Grind,2003,0.235742,Casey La Scala,skateboarding|sport,105,6.3,25197618.699245356
Dot the I,2003,0.226503,Matthew Parkhill,,92,5.2,25197618.699245356
Carolina,2003,0.141822,Marleen Gorris,sister sister relationship|grandmother granddaughter relationship|crush|youth|woman director,97,5.9,25197618.699245356
Tiptoes,2003,0.220344,Matthew Bright,sex|artist|girlfriend|party|love,90,4.5,25197618.699245356
The Corporation,2003,0.097647,Mark Achbar|Jennifer Abbott,capitalism|canada|political activism|power|marketing,145,7.1,-10125701.09414688
Owning Mahowny,2003,0.209749,Richard Kwietniowski,female nudity|gambling|casino|nudity|banker,104,6.4,25197618.699245356
Kid's Story,2003,0.208637,Shinichiro Watanabe,,15,6.8,-5.0
Frank Herbert's Children of Dune,2003,0.20739899999999997,Greg Yaitanes,prophecy|telepathy|sandstorm|title of nobility|world religion,248,6.5,19823319.793392234
The Company,2003,0.371487,Robert Altman,ballet dancer|independent film|ballet,112,4.9,-12718415.0
Natural City,2003,0.39450100000000005,Byung-chun Min,megacity|cyborg|detective inspector|metropolis|rain,114,4.9,33823319.79339223
Flywheel,2003,0.202514,Alex Kendrick,christianity|father-son relationship|georgia|ark of the covenant|minister,120,6.9,25197618.699245356
Crime Spree,2003,0.201732,Brad Mirman,gangster boss|hoodlum,98,6.3,25197618.699245356
44 Minutes: The North Hollywood Shoot-Out,2003,0.201014,Yves Simoneau,,103,6.2,29823319.793392234
DÃ©dales,2003,0.20837199999999997,RenÃ© Manzor,,100,6.5,25197618.699245356
Charlie: The Life and Art of Charles Chaplin,2003,0.18684800000000001,Richard Schickel,biography,132,6.4,25197618.699245356
Alien Hunter,2003,0.198046,Ron Krauss,secret lab|airplane|agriculture|womanizer|nuclear explosion,100,4.2,32823319.793392234
Leprechaun: Back 2 tha Hood,2003,0.197848,Steven Ayromlooi,leprechaun,90,6.0,25197618.699245356
The Cooler,2003,0.197542,Wayne Kramer,casino|jinx|bad luck,101,6.5,7823319.793392234
Good Boy!,2003,0.19486199999999998,John Robert Hoffman,,87,4.9,22823319.793392234
Touching the Void,2003,0.194794,Kevin Macdonald,wound|mountaineer|peru|sport|glacier,106,7.5,-739899.0941468794
Veronica Guerin,2003,0.193661,Joel Schumacher,journalism|police|drug scene|murder|drug lord,98,6.7,-15430082.0
Luther,2003,0.619899,Eric Till,protestant church|church|catholicism,123,6.3,25197618.699245356
Rugrats Go Wild,2003,0.190667,John Eng|Norton Virgien,kids and family,84,5.3,25197618.699245356
Soldier's Girl,2003,0.19026300000000002,Frank Pierson,,112,5.9,25197618.699245356
All the Real Girls,2003,0.21879899999999997,David Gordon Green,southern u.s.|small town|virgin|independent film|best friend,108,5.6,25197618.699245356
Blind Horizon,2003,0.104354,Michael Haussman,,99,5.9,25197618.699245356
My Boss's Daughter,2003,0.939084,David Zucker,,83,4.4,25823319.793392234
Bright Young Things,2003,0.170297,Stephen Fry,independent film,106,5.4,25197618.699245356
X2,2003,0.175002,Bryan Singer,mutant|marvel comic|based on comic book|superhuman|storm,133,6.7,104948780.0
Dickie Roberts: Former Child Star,2003,0.169652,Sam Weisman,loser|child prodigy,98,5.4,25197618.699245356
Wonderland,2003,0.161748,James Cox,robbery|junkie|investigation|porno star|murder,104,6.4,-2533556.0
Northfork,2003,0.159996,Michael Polish,,103,5.7,25197618.699245356
Love Object,2003,0.159344,Robert Parigi,sex|sex doll,88,5.0,25197618.699245356
Nothing,2003,0.156803,Vincenzo Natali,loser|bullying|leere|independent film|best friend,90,5.5,25197618.699245356
Helen of Troy,2003,0.154678,John Kent Harrison,love|history,175,5.5,25197618.699245356
Love Comes Softly,2003,0.150064,"Michael Landon, Jr.",,88,6.1,25197618.699245356
Camp,2003,0.147375,Todd Graff,gay|summer camp|independent film|coming of age|kids,114,4.9,-12997547.09414688
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003,0.146885,Errol Morris,vietnam|politics|war|lesson|secretary of defense,95,6.7,25197618.699245356
The Shape of Things,2003,0.14657,Neil LaBute,seduction|college|love|friends|betrayal,96,6.1,25197618.699245356
Alex & Emma,2003,0.143004,Rob Reiner,gambling|sex|casino|based on novel|vandalism,96,5.0,-14631103.0
From Justin to Kelly,2003,0.135161999999999,Robert Iscove,musical,90,3.5,-7077834.0
Deliver Us from Eva,2003,0.12104200000000001,Gary Hardwick,romantic comedy,105,6.3,25197618.699245356
Les Clefs de bagnole,2003,0.126182,Laurent Baffie,,90,4.8,0.0
Air Bud: Spikes Back,2003,0.131905,Mike Southon,beach|sports car|volleyball|dog,87,4.5,34823319.79339223
August Underground's Mordum,2003,0.020946,Fred Vogel|Jerami Cruise,,77,4.3,39823019.79339223
Undead,2003,0.126685,Michael Spierig|Peter Spierig,comet|zombies,97,5.5,25197618.699245356
Saw,2003,0.121449,James Wan,abduction|short,9,6.4,25197618.699245356
The Diary of Ellen Rimbauer,2003,0.175648,Craig R. Baxley,medium|haunted house,88,4.9,25197618.699245356
Final Flight of the Osiris,2003,0.10846300000000002,Andrew R. Jones,,9,6.5,25197618.699245356
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,0.20175,Kazuhisa TakenÃ´chi,spaceman|musical|record producer|space|rescue,68,7.2,25197618.699245356
I Capture the Castle,2003,0.102769,Tim Fywell,,113,7.2,25197618.699245356
Sylvia,2003,0.098984,Christine Jeffs,beach|infidelity|boat|writing|biography,109,5.6,3000000.0
The Foreigner,2003,0.098039,Michael Oblowitz,assassin|van|package,96,4.3,23123319.793392234
Tupac: Resurrection,2003,0.23825,Lauren Lazin,hip-hop|blunt|rap music|woman director,112,8.0,-6817177.094146879
De fem benspÃ¦nd,2003,0.09639600000000001,Lars von Trier|JÃ¸rgen Leth,third world|director|experimental film|filmmaking|part animated,90,5.7,25197618.699245356
Homeless to Harvard: The Liz Murray Story,2003,0.09449,Peter Levin,homeless teenager,104,6.0,25197618.699245356
Chalte Chalte,2003,0.085589,Aziz Mirza,fashion designer|car crash,167,6.3,25197618.699245356
The Snow Walker,2003,0.080522,Charles Martin Smith,independent film,103,4.5,25197618.699245356
"Buongiorno, notte",2003,0.08018,Marco Bellocchio,,106,5.3,25197618.699245356
Effroyables jardins,2003,0.07715,Jean Becker,,95,7.6,25197618.699245356
Madea's Class Reunion,2003,0.073665,Tyler Perry,,0,6.9,25197618.699245356
Fear of the Dark,2003,0.063216,K.C. Bascombe,,86,5.0,25197618.699245356
Bienvenue chez les Rozes,2003,0.062876,Francis Palluau,,90,5.5,25197618.699245356
Indiana Jones: Making the Trilogy,2003,0.059976,Laurent Bouzereau,making of,127,7.2,25197618.699245356
A Detective Story,2003,0.168156,Shinichiro Watanabe,,10,7.4,25197618.699245356
Gomez & TavarÃ¨s,2003,0.138667,Gilles Paquet-Brenner,,72,4.4,25197618.699245356
The Young Black Stallion,2003,0.040005,Simon Wincer,horse,49,4.8,25197618.699245356
The Saddest Music in the World,2003,0.039864,Guy Maddin,independent film,100,6.1,25197618.699245356
The Room,2003,0.038307,Tommy Wiseau,,99,4.6,25197618.699245356
Eloise at Christmastime,2003,0.038236,Kevin Lima,holiday|christmas,89,4.6,25197618.699245356
Turbo Charged Prelude to 2 Fast 2 Furious,2003,0.027927999999999998,Philip G. Atwell,,6,6.8,25197618.699245356
Matriculated,2003,0.046862,Peter Chung,,16,7.1,25197618.699245356
The Second Renaissance Part II,2003,0.013546,Mahiro Maeda,,9,7.2,25197618.699245356
A Wrinkle in Time,2003,0.049777999999999996,John Kent Harrison,,128,4.9,25197618.699245356
Eddie Izzard: Glorious,1997,6.66898999999999,Peter Richardson,bible|stand up comedy|concert film|old testament|man in drag,99,5.5,25197618.699245356
Titanic,1997,4.355219,James Cameron,shipwreck|iceberg|ship|panic|titanic,194,7.3,1645034188.0
Hercules,1997,3.4889099999999997,John Musker|Ron Clements,hades|musical|peasant|olymp|animation,93,7.0,167712101.0
Men in Black,1997,3.153414,Barry Sonnenfeld,secret identity|sun glasses|undercover|space marine|illegal immigration,98,6.7,499390539.0
Gattaca,1997,3.077454,Andrew Niccol,paraplegic|suicide attempt|cheating|dna|spaceman,106,7.3,-23467223.0
The Fifth Element,1997,2.972972,Luc Besson,secret passage|clone|taxi|future|stowaway,126,7.1,173920180.0
Batman & Robin,1997,2.6047990000000003,Joel Schumacher,double life|dc comics|dual identity|crime fighter|fictional place,125,4.4,113207122.0
Drive,1997,2.407266,Steve Wang,electromagnetic pulse|virtual reality|independent film|boarding house|boat chase,100,6.3,36323319.79339223
Tomorrow Never Dies,1997,2.391809,Roger Spottiswoode,london|england|spy|china|news broadcast,119,5.9,223011068.0
Good Will Hunting,1997,2.2020869999999997,Gus Van Sant,sex|baseball|boston|professor|m.i.t.,126,7.7,215933435.0
Jackie Brown,1997,2.113737,Quentin Tarantino,airport|underworld|arms deal|weapon|police,154,7.1,27673162.0
Alien: Resurrection,1997,2.064658,Jean-Pierre Jeunet,android|mercenary|dystopia|sequel|alien,109,5.9,92000000.0
The Game,1997,2.01227,David Fincher,brother brother relationship|birthday|danger of life|present|birthday party,129,7.3,59423648.0
Event Horizon,1997,1.949225,Paul W.S. Anderson,space marine|nudity|nightmare|hallucination|cryogenics,96,6.2,-33326758.0
Anastasia,1997,1.929641,Don Bluth|Gary Goldman,tzar|musical|russian revolution|train explosion|foreign language adaptation,94,7.2,86804348.0
Home Alone 3,1997,1.623577,Raja Gosnell,parents kids relationship|burglar|child hero|auto|bravery,102,5.2,47082515.0
Austin Powers: International Man of Mystery,1997,1.616191,Jay Roach,android|undercover|missile|group therapy|airplane,94,6.3,51183989.0
Starship Troopers,1997,1.5528600000000001,Paul Verhoeven,moon|total destruction|asteroid|space marine|liberation of prisoners,129,6.5,16214377.0
The Full Monty,1997,1.4125159999999999,Peter Cattaneo,suicide attempt|striptease|steel worker|repossession|male stripper,91,6.4,254350122.0
Con Air,1997,1.368403,Simon West,prison|ambush|helicopter|airport|gas station,115,6.5,149012234.0
Face/Off,1997,1.330225,John Woo,undercover|mexican standoff|biological weapon|face transplant|rage and hate,138,6.7,165676146.0
Donnie Brasco,1997,1.308461,Mike Newell,undercover|mafia|mobster|dirty cop|informant,127,7.2,6954997.0
I Know What You Did Last Summer,1997,1.307058,Jim Gillespie,secret|blackmail|fisherman|police|high school,100,5.5,108586134.0
The Devil's Advocate,1997,1.272247,Taylor Hackford,child abuse|southern u.s.|obsession|subway|nudity,144,6.9,95944660.0
Anaconda,1997,1.231579,Luis Llosa,amazon|jungle|anaconda|film crew|poisonous insects,89,4.7,91885767.0
Chasing Amy,1997,1.212565,Kevin Smith,new jersey|coming out|love of one's life|bisexuality|menage a trois,113,6.7,11771272.0
Dante's Peak,1997,1.176223,Roger Donaldson,helicopter|small town|mayor|evacuation|motel,108,5.5,62127760.0
Speed 2: Cruise Control,1997,1.172353,Jan de Bont,boat|cruise|computer|disaster|diamonds,121,4.4,4508066.0
L.A. Confidential,1997,1.123404,Curtis Hanson,corruption|detective|shotgun|morgue|f word,138,7.5,91216940.0
Scream 2,1997,1.1091010000000001,Wes Craven,film festivals|slaughter|slasher,120,6.0,148363301.0
Liar Liar,1997,1.087383,Tom Shadyac,birthday|pregnancy and birth|wish,86,6.2,136000000.0
Beauty and the Beast: The Enchanted Christmas,1997,1.046547,Andrew Knight,fairy tale|beast|christmas,72,5.9,25197618.699245356
Contact,1997,1.0374379999999999,Robert Zemeckis,based on novel|nasa|new mexico|extraterrestrial technology|prime number,150,6.9,81120329.0
Lolita,1997,1.031334,Adrian Lyne,jealousy|secret|blackmail|professor|lolita,137,6.9,-60939944.0
The Rainmaker,1997,1.008461,Francis Ford Coppola,jurors|proof|court case|leukemia|lawyer,135,6.5,5916769.0
Volcano,1997,0.999866,Mick Jackson,subway|lava|volcano|volcanologist|los angeles,104,5.0,-50176680.20660777
The Jackal,1997,0.9814219999999999,Michael Caton-Jones,fbi|cold war|hitman,124,6.0,99330280.0
Grosse Pointe Blank,1997,0.978042,George Armitage,mission of murder|school party,107,6.9,13458655.90585312
Poison Ivy: The New Seduction,1997,0.977822,Kurt Voss,manipulation|romance|family|erotic movie,93,4.4,25197618.699245356
Flubber,1997,0.96047,Les Mayfield,wedding vows|inventor|slime|green|flight,93,5.1,97977226.0
The Saint,1997,0.9386110000000001,Phillip Noyce,berlin|russia|gas|master thief|the saint,116,6.0,50063304.0
Conspiracy Theory,1997,0.936736,Richard Donner,new york|cia|helicopter|assassin|secret,135,6.4,61982834.0
Air Force One,1997,0.933349,Wolfgang Petersen,prison|corruption|journalist|white house|hostage,124,6.1,230156409.0
George of the Jungle,1997,0.8791950000000001,Sam Weisman,africa|san francisco|gorilla|lion|feral child,92,5.2,-15176680.206607766
Wag the Dog,1997,0.855982,Barry Levinson,washington d.c.|rape|cia|u.s. president|war veteran,97,6.6,49256513.0
As Good as It Gets,1997,0.855087,James L. Brooks,single parent|waitress|lone wolf|friendship|neighbor,139,7.0,264178011.0
Breakdown,1997,0.8353360000000001,Jonathan Mostow,california|bank|ransom|donut|highway,95,6.5,14159144.0
Seven Years in Tibet,1997,0.824965,Jean-Jacques Annaud,buddhism|himalaya|austria|buddhist monk|world war ii,136,6.9,61457682.0
My Best Friend's Wedding,1997,0.797298,P.J. Hogan,karaoke|marriage proposal|new love|love of one's life|kiss,105,6.3,261288605.0
Boogie Nights,1997,0.778274,Paul Thomas Anderson,pornography|porn actor|pornographic video|from rags to riches|drug,155,7.3,28101594.0
Lost Highway,1997,0.776305,David Lynch,schizophrenia|prison|pornography|sadistic|dual identity,134,7.3,-11324799.0
Mad City,1997,0.7618699999999989,Costa-Gavras,journalist|museum|hostage drama|independent film,114,5.3,-39458477.0
"Honey, We Shrunk Ourselves",1997,0.7598060000000001,Dean Cundey,brother brother relationship|inventor|museum|shrinking|celebration,74,5.1,32823319.793392234
Dobermann,1997,0.749958,Jan Kounen,paris|robbery|bank|burglar|bank robber,103,6.2,25197618.699245356
Annabelle's Wish,1997,0.74348,Roy Wilson,reindeer,54,5.8,25197618.699245356
Bean,1997,0.742726,Mel Smith,paris|london|california|airport|vault,85,6.3,233212670.0
The Devil's Own,1997,0.737243,Alan J. Pakula,new york|terrorist|anonymity|northern ireland,107,5.8,50807547.0
In & Out,1997,0.733859,Frank Oz,gay|homophobia|gay kiss|coming out,90,5.8,4823319.793392234
Murder at 1600,1997,0.713857,Dwight H. Little,cia|white house|secret service,107,5.8,11179005.90585312
The Edge,1997,0.713234,Lee Tamahori,photographer|grizzly bear|wilderness|airplane|supermodel,117,6.5,28686592.905853122
Kiss the Girls,1997,0.712173,Gary Fleder,washington d.c.|covered investigation|investigation|north carolina|missing person,115,6.1,33527873.0
Absolute Power,1997,0.708978,Clint Eastwood,corruption|assassination|washington d.c.|rape|white house,121,6.2,68310.0
Vegas Vacation,1997,0.7065359999999989,Stephen Kessler,gambling|chaos|roulette|family holiday,93,6.1,11400360.0
U Turn,1997,0.706041,Oliver Stone,car breakdown|wilderness|kiss|gambling debts|car garage,125,6.6,-12317902.0
The Land Before Time V: The Mysterious Island,1997,0.6978270000000001,Charles Grosvenor,dinosaur,74,5.9,25197618.699245356
Mimic,1997,0.6853819999999989,Guillermo del Toro,experiment|mutation|cockroach|nest|blood,105,5.3,-4519510.0
One Eight Seven,1997,0.6830510000000001,Kevin Reynolds,new york|high school|teacher|attack|stabbing,119,6.4,-14283920.0
Fools Rush In,1997,0.681887,Andy Tennant,waitress|culture clash|romantic comedy|pregnancy,109,6.0,14855726.90585312
Spawn,1997,0.676667,Mark A.Z. DippÃ©,anti hero|secret agent|fistfight|based on comic book|burn victim,96,5.0,47840042.0
The Peacemaker,1997,0.674762,Mimi Leder,helicopter|terrorist|nuclear missile|bridge|train crash,124,5.5,-10176680.206607766
Cube,1997,0.663483,Vincenzo Natali,riddle|autism|claustrophobia|maze|prime number,90,6.7,251818.0
Kundun,1997,0.660297,Martin Scorsese,buddhism|china|indian|mountains|buddhist monk,134,7.1,-22315211.0
The Postman,1997,0.648088,Kevin Costner,usa|post|postman|army|apocalypse,177,6.1,-62373766.0
G.I. Jane,1997,0.638429,Ridley Scott,female nudity|poem|middle east|helicopter|satellite,125,6.0,-1830844.0
The Relic,1997,0.636839,Peter Hyams,chicago|indian|monster|museum|pile of dead bodies,110,5.7,-26043392.0
Jungle 2 Jungle,1997,0.622046,John Pasquin,new york|paternity,97,5.3,25197618.699245356
Wilde,1997,0.619611999999999,Brian Gilbert,prison|irland|coming out|wife|victorian england,118,6.0,25197618.699245356
Nightwatch,1997,0.586336,Ole Bornedal,expensive restaurant|night watchman|law|investigation|suspense,102,6.4,-13446699.09414688
A Life Less Ordinary,1997,0.572198,Danny Boyle,angel|sex|robbery|based on novel|karaoke,103,6.3,27823319.793392234
Orgazmo,1997,0.568327,Trey Parker,pornography|sex|secret|fight|star,94,6.3,38823319.79339223
Deconstructing Harry,1997,0.56776,Woody Allen,new york|writer's block|insanity|independent film|author,96,6.9,25197618.699245356
Geri's Game,1997,0.559337,Jan Pinkava,chess|eyeglasses|pixar animated short|computer animation|park,4,7.8,25197618.699245356
Hoodlum,1997,0.551245,Bill Duke,dutch|blood|mobster|gangster|violence,130,6.4,9823319.793392234
The Love Bug,1997,0.5427930000000001,Peyton Reed,made for television|evil bug,88,4.9,25197618.699245356
Fathers' Day,1997,0.536259,Ivan Reitman,law|paternity|friendship|run away|teen angst,89,5.1,-45176680.20660777
Fire Down Below,1997,0.5305439999999989,FÃ©lix EnrÃ­quez AlcalÃ¡,sheriff|toxic waste|church,105,5.0,-44000000.0
Double Team,1997,0.529974,Tsui Hark,terrorist|switzerland|undercover|revenge,97,4.3,9823319.793392234
MouseHunt,1997,0.512273,Gore Verbinski,brother brother relationship|loss of father|mouse|house|inheritance,98,6.1,84417389.0
The Sweet Hereafter,1997,0.511529,Atom Egoyan,canada|suffering|village|paralysis|independent film,112,6.4,-1736415.0
Pooh's Grand Adventure: The Search for Christopher Robin,1997,0.507983,Karl Geurs,,76,6.5,25197618.699245356
Mr. Magoo,1997,0.5062409999999989,Stanley Tong,lie|bluff|based on cartoon|millionaire|luck,84,4.3,9823319.793392234
The Apostle,1997,0.498525,Robert Duvall,christianity|coma|jealousy|radio station|texas,134,5.4,34823319.79339223
Cop Land,1997,0.473762,James Mangold,corruption|handcuffs|fbi|bad cop,104,6.5,29862187.0
Smilla's Sense of Snow,1997,0.471278,Bille August,copenhagen|inuit|comet|arctic|snow,121,6.8,4823319.793392234
Selena,1997,0.46602,Gregory Nava,musical|tejano|elopement|bustier|fan club,127,6.9,40000000.0
Spice World - The Movie,1997,0.46490699999999996,Bob Spiers,pop|pop culture|pop star,93,5.2,75000000.0
The Ice Storm,1997,0.463524,Ang Lee,based on novel|1970s|thanksgiving|dysfunctional family|independent film,112,6.3,-9961939.0
Trucks,1997,0.45978199999999997,Chris Thomson,man vs machine|truck,95,3.2,25197618.699245356
Air Bud,1997,0.436806,Charles Martin Smith,clown|golden retriever|dog actor,98,5.3,20144499.0
Romy and Michele's High School Reunion,1997,0.431088,David Mirkin,smoking|overweight child|graduation|marriage|high school,92,5.9,14609651.90585312
The Shining,1997,0.42734300000000003,Mick Garris,hotel|teacher|tv mini-series|cameo appearance|family violence,273,6.1,25197618.699245356
Nothing to Lose,1997,0.426675,Steve Oedekerk,infidelity|security camera|loss|crook|sociopath,97,6.1,14823319.793392234
Cats Don't Dance,1997,0.425112,Mark Dindal,dance|musical,75,7.1,-28433363.0
Robinson Crusoe,1997,0.419759,Rod Hardy|George T. Miller,indigenous|island|shipwreck|friendship|loneliness,92,5.0,25197618.699245356
Mortal Kombat: Annihilation,1997,1.086558,John R. Leonetti,martial arts|authority|tournament|battle|fighting,95,3.9,21376861.0
Casper: A Spirited Beginning,1997,0.414756,Sean McNamara,ghost,90,5.4,25197618.699245356
Metro,1997,0.447075,Thomas Carter,san francisco|liberation of hostage|police|hostage-taking|persuasion,117,5.3,-23012437.0
The Assignment,1997,0.41189899999999996,Christian Duguay,terrorist|naval officer,119,6.8,25197618.699245356
Gridlock'd,1997,0.408033,Vondie Curtis-Hall,aids|drug addiction|suspicion of murder|police|entzug,91,7.1,25197618.699245356
Snow White: A Tale of Terror,1997,0.402621,Michael Cohn,jealousy|toxication|castle|step mother|fairy-tale figure,100,6.4,25197618.699245356
Wishmaster,1997,0.401471,Robert Kurtzman,fire|menace|wish|djinn|stabbed in the stomach,90,5.4,10738769.0
For Richer or Poorer,1997,0.362661,Bryan Spicer,new york|pennsylvania|cheating|tax consultant|parish hall,115,5.8,-3388775.0
Red Corner,1997,0.396805,Jon Avnet,china|death penalty|law|business man|murder,122,6.2,-8176680.206607766
Turbo: A Power Rangers Movie,1997,0.223994,Shuki Levy|David Winning,california|volcano|child hero|sequel|human sacrifice,99,4.6,7979739.0
Beverly Hills Ninja,1997,0.38756,Dennis Dugan,japan|ninja fighter|overweight man|clumsy fellow|teacher,88,5.5,25197618.699245356
The Borrowers,1997,0.386432,Peter Hewitt,dwarves|household|lawyer|little people|child's point of view,86,5.8,10823319.793392234
The Swan Princess: Escape from Castle Mountain,1997,0.385596,Richard Rich,prince|frog|turtle,71,6.2,-14352057.09414688
Money Talks,1997,0.378662,Brett Ratner,prison|diamant|liberation of prisoners|transport of prisoners|interview,97,6.1,25197618.699245356
The Man Who Knew Too Little,1997,0.37438,Jon Amiel,london|bomb|brother brother relationship|helicopter|based on novel,97,6.5,-6198245.0
Turbulence,1997,0.364359,Robert Butler,stewardess|airplane|shootout|air marshal|christmas,100,5.3,-43533912.0
Bent,1997,0.21981399999999998,Sean Mathias,nazis|concentration camp prisoner|independent film|gay interest,105,6.3,25197618.699245356
The Night Flier,1997,0.352232,Mark Pavia,journalist|airport|vampire|airplane|series of murders,93,5.0,25197618.699245356
In the Company of Men,1997,0.35118299999999997,Neil LaBute,office|love|independent film|secretary|misogynist,97,6.1,25197618.699245356
Fierce Creatures,1997,0.340289,Fred Schepisi|Robert Young,zoo|marketing|costume|black comedy|business,93,5.5,-5244441.094146879
Steel,1997,0.345909,Kenneth Johnson,dc comics|los angeles|soldier|military,97,4.3,-14313571.0
The Pest,1997,0.345481,R. Paul Miller,island|hunting human beings|independent film|scam|hispanic,82,5.3,22823319.793392234
Lawn Dogs,1997,0.33467800000000003,John Duigan,sex|infidelity|lawnmower|nudity|suspicion,101,6.8,32823319.793392234
Retroactive,1997,0.334532,Louis Morneau,leap in time|suspense|serial killer,91,6.0,25197618.699245356
Private Parts,1997,0.325869,Betty Thomas,sexuality|becoming an adult|eroticism|radio|jew,109,6.6,13230799.0
Suicide Kings,1997,0.319006,Peter O'Fallon,ransom|sister|killer|group of friends|hoodlum,106,6.6,25197618.699245356
Mrs Brown,1997,0.318336,John Madden,england|assassination|queen|prince|widow,105,5.8,25197618.699245356
The Butcher Boy,1997,0.303573,Neil Jordan,suicide|angel|difficult childhood|insane asylum|pig,110,6.5,25197618.699245356
Playing God,1997,0.056389999999999996,Andy Wilson,fbi|gang war|surgeon|beautiful woman|los angeles,94,5.7,-8000000.0
